R1_EP_DR1,-133.35,165.10,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,-135.89,165.10,0.00,5K1,CPF0201D7K68C1_0201
R2,-13.97,168.91,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-16.51,168.91,0.00,10K,CPF0201D7K68C1_0201
R2_USB,-19.05,168.91,0.00,5K1,CPF0201D7K68C1_0201
R3,-21.59,168.91,0.00,0,CPF0201D7K68C1_0201
R4,-24.13,168.91,0.00,0,CPF0201D7K68C1_0201
R5,-26.67,168.91,0.00,10K,CPF0201D7K68C1_0201
R7,-29.21,168.91,0.00,10K,CPF0201D7K68C1_0201
R8,-31.75,168.91,0.00,10K,CPF0201D7K68C1_0201
R9,-34.29,168.91,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-41.91,168.91,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-44.45,168.91,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-121.92,160.02,0.00,SJ1,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-72.39,25.03,0.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-91.44,99.96,0.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-96.67,64.96,179.10,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-68.58,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-93.98,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-101.60,153.67,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-59.69,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-101.60,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-109.22,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,-21.59,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-86.36,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-77.47,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,-114.30,153.67,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,-125.73,153.67,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,-50.80,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-41.91,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-31.75,160.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,53.34,44.45,0.00," nRF52840",NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-101.60,130.81,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,62.23,48.26,0.00,32MHZ,NORDIC_NRF_BT-XTAL_2016_N
X2,40.64,46.99,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
